<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.07.07	174.52	175.00	173.81	174.19	173	595	1
2019.07.14	174.52	176.73	173.55	175.65	548	1766	1
2019.07.21	175.86	175.97	172.68	173.33	495	2076	1
2019.07.28	173.60	174.62	172.74	172.74	613	2114	1
2019.08.04	172.79	173.92	171.61	173.55	777	2550	1
2019.08.11	173.49	173.55	170.90	171.28	669	2227	1
2019.08.18	171.12	173.33	170.10	172.95	664	2790	1
2019.08.25	173.22	173.65	172.47	172.58	638	3097	1
2019.09.01	173.17	173.44	171.87	172.41	721	4170	1
2019.09.08	173.17	174.78	173.17	174.03	929	4430	1
2019.09.15	173.98	174.84	173.65	174.25	641	3568	1
2019.09.22	174.08	176.08	173.87	174.25	735	5805	1
2019.09.29	174.19	175.65	173.87	174.95	653	3546	1
2019.10.06	175.11	175.65	174.35	175.59	507	1959	1
2019.10.13	175.49	178.80	175.38	178.44	885	3759	1
2019.10.20	179.21	181.78	178.39	180.80	677	2041	1
2019.10.27	180.96	186.40	180.96	186.40	475	2906	1
2019.11.03	185.63	200.18	185.38	199.98	1361	5500	1
2019.11.10	202.03	219.92	201.78	210.77	1567	6858	1
2019.11.17	215.96	232.93	214.22	222.60	2639	9927	1
2019.11.24	228.25	234.42	212.31	220.03	3710	14779	1
2019.12.01	219.82	221.05	204.19	211.80	2128	7483	1
2019.12.08	212.83	214.37	196.33	209.74	2981	9743	1
2019.12.15	215.71	220.54	207.84	209.33	1542	6073	1
2019.12.22	208.20	211.80	207.69	211.59	475	2579	1
2019.12.29	199.98	205.63	196.38	202.44	767	1993	1
2020.01.05	203.47	206.15	197.30	197.92	1515	3602	1
2020.01.12	197.51	199.93	191.85	192.57	1352	4513	1
2020.01.19	192.78	194.84	191.70	194.32	1281	4971	1
2020.01.26	193.04	199.18	192.47	199.18	825	3664	1
2020.02.02	200.60	201.76	196.74	198.31	1511	4636	1
2020.02.09	199.13	202.78	196.74	200.55	1028	4401	1
2020.02.16	200.34	204.30	199.29	203.05	473	1506	1
2020.02.23	204.30	205.60	202.80	204.65	305	806	1
2020.03.01	204.30	208.05	204.10	205.30	668	2103	1
2020.03.08	202.80	203.80	182.12	183.37	1702	6090	1
2020.03.15	175.86	181.26	161.44	179.76	1845	5830	1
2020.03.22	177.26	197.24	171.90	191.78	2038	5023	1
2020.03.29	192.03	195.28	172.20	179.26	2378	5026	1
2020.04.05	182.27	187.07	176.76	182.47	1383	2675	1
2020.04.12	180.26	188.73	176.76	187.17	1642	3053	1
2020.04.19	185.72	193.78	183.27	193.28	1090	2319	1
2020.04.26	193.28	197.09	191.18	194.23	1123	3901	1
2020.05.03	193.44	196.45	189.79	190.29	1199	3142	1
