<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.28	30.12	30.57	29.97	30.43	2279	6831	1
2018.02.04	30.50	31.34	30.46	30.82	2479	9575	1
2018.02.11	30.89	31.71	30.72	31.66	1114	3367	1
2018.02.18	31.66	34.34	31.66	34.00	4733	19603	1
2018.02.25	34.06	37.08	34.06	37.06	5930	19187	1
2018.03.04	37.03	37.55	36.23	37.15	3724	13130	1
2018.03.11	37.10	40.88	36.90	37.53	6777	30414	1
2018.03.18	36.94	39.15	36.70	37.08	6612	22494	1
2018.03.25	36.95	38.07	36.45	36.89	3105	8861	1
2018.04.01	37.04	39.96	37.03	39.74	5081	19881	1
2018.04.08	39.83	39.98	37.65	37.97	4412	15224	1
2018.04.15	37.73	39.20	37.16	37.40	2871	9175	1
2018.04.22	37.06	39.20	37.06	38.89	3199	12734	1
2018.04.29	39.18	41.56	39.00	40.10	4331	23164	1
2018.05.06	40.01	41.38	40.01	40.33	4752	25150	1
2018.05.13	40.48	42.70	40.32	42.54	4450	18909	1
2018.05.20	42.74	42.77	41.36	41.80	4314	18041	1
2018.05.27	41.44	41.63	40.60	40.85	2558	10101	1
2018.06.03	40.83	41.43	39.84	39.96	4224	18066	1
2018.06.10	39.93	39.93	36.78	37.56	5770	21765	1
2018.06.17	37.46	38.01	36.05	37.06	3222	11572	1
2018.06.24	36.77	37.78	36.22	37.54	2246	7980	1
2018.07.01	37.53	38.77	37.16	38.52	1720	5578	1
2018.07.08	38.03	38.62	37.39	38.05	2066	7701	1
2018.07.15	37.87	39.87	37.77	39.23	3477	15231	1
2018.07.22	39.43	41.07	39.28	41.04	2754	11642	1
2018.07.29	41.13	41.87	40.55	41.79	3548	11991	1
2018.08.05	41.77	43.16	41.62	41.86	5199	19472	1
2018.08.12	41.91	42.26	41.09	42.23	3505	11641	1
2018.08.19	42.17	42.60	41.69	42.24	2453	8055	1
2018.08.26	42.10	42.10	40.53	41.04	2357	8390	1
2018.09.02	41.15	41.34	40.53	40.60	1836	4825	1
2018.09.09	40.51	40.87	39.50	40.05	2313	6921	1
2018.09.16	40.08	40.09	38.20	38.98	3440	10413	1
2018.09.23	38.80	39.27	38.06	38.68	2904	8263	1
2018.09.30	38.91	39.16	37.27	37.38	2936	9566	1
2018.10.07	37.33	37.69	35.15	35.83	2628	9721	1
2018.10.14	36.07	36.30	34.03	34.38	2333	7175	1
2018.10.21	34.33	34.33	33.64	33.83	1848	5965	1
2018.10.28	33.36	34.52	33.16	34.27	1780	6139	1
2018.11.04	33.96	35.63	33.96	35.48	1630	5473	1
2018.11.11	35.72	35.83	34.48	34.99	1313	4047	1
2018.11.18	35.04	35.98	34.52	35.03	2111	5407	1
2018.11.25	34.53	35.35	33.56	34.03	2761	7454	1
2018.12.02	34.07	34.92	33.74	34.68	2416	5709	1
2018.12.09	34.59	35.16	34.37	34.66	1259	3260	1
2018.12.16	34.86	36.68	34.59	36.46	3045	7472	1
2018.12.23	36.31	36.68	36.13	36.27	506	874	1
2018.12.30	35.99	36.78	35.77	36.69	1848	4345	1
2019.01.06	36.55	36.83	35.18	36.08	2718	8130	1
2019.01.13	36.07	36.60	35.32	35.88	3122	8694	1
2019.01.20	35.97	37.08	35.97	36.99	2726	7017	1
2019.01.27	37.05	37.72	36.52	37.21	2948	7799	1
2019.02.03	37.21	37.74	36.78	37.47	3133	8577	1
2019.02.10	37.46	38.23	37.06	37.92	3024	8947	1
2019.02.17	38.14	38.33	37.76	38.24	2037	5974	1
2019.02.24	38.28	39.00	38.25	38.74	2799	9449	1
2019.03.03	38.33	38.84	38.33	38.43	957	2586	1
2019.03.10	38.32	38.37	35.79	37.05	4401	15542	1
2019.03.17	36.91	37.15	34.84	36.12	3866	13983	1
2019.03.24	36.42	37.15	35.73	35.76	4396	14158	1
2019.03.31	35.63	36.11	35.09	35.14	2744	7579	1
2019.04.07	35.09	35.42	34.06	34.06	3413	13070	1
2019.04.14	34.15	34.40	33.49	33.54	2044	6157	1
2019.04.21	33.48	33.99	32.66	32.94	3422	11349	1
2019.04.28	32.65	32.65	30.80	31.46	2388	6049	1
2019.05.05	31.23	32.29	31.02	32.19	2220	6776	1
2019.05.12	32.17	36.59	32.17	36.59	4685	15594	1
2019.05.19	36.69	37.76	35.17	36.34	5773	15222	1
2019.05.26	36.64	41.01	36.64	39.65	6939	18456	1
2019.06.02	39.49	40.11	36.27	37.51	6593	16377	1
2019.06.09	37.18	40.33	36.41	40.21	7315	17939	1
2019.06.16	40.71	41.09	38.17	38.37	5396	13855	1
2019.06.23	38.70	39.91	37.46	37.72	5639	14261	1
2019.06.30	37.76	39.23	37.00	38.58	5628	14233	1
2019.07.07	38.69	38.78	37.47	38.68	3701	8968	1
2019.07.14	38.64	38.98	37.66	37.97	4339	11451	1
2019.07.21	37.73	37.94	37.07	37.36	3490	9679	1
2019.07.28	37.55	37.65	36.69	37.14	4117	10884	1
2019.08.04	36.87	39.39	36.76	39.14	5857	15071	1
2019.08.11	38.91	39.59	36.69	37.20	4044	11153	1
2019.08.18	36.85	37.56	36.65	37.25	2635	6741	1
2019.08.25	37.34	38.20	37.29	37.95	2194	5844	1
2019.09.01	37.68	37.97	37.05	37.11	2277	7216	1
2019.09.08	37.25	38.61	37.20	38.43	2995	9399	1
2019.09.15	38.34	39.02	38.19	38.89	4392	10784	1
2019.09.22	38.78	39.50	38.78	39.16	3842	12262	1
2019.09.29	39.21	39.90	38.97	39.13	4562	12654	1
2019.10.06	39.13	40.23	39.13	40.08	3637	10143	1
2019.10.13	40.38	42.37	40.04	42.09	4463	16564	1
2019.10.20	42.59	43.02	42.14	42.33	3153	9862	1
2019.10.27	42.13	42.29	40.82	41.02	3328	10878	1
2019.11.03	40.80	42.02	40.68	41.95	2839	7631	1
2019.11.10	42.08	43.82	41.94	42.79	3390	8619	1
2019.11.17	42.84	45.67	42.10	44.74	4830	9612	1
2019.11.24	44.90	45.93	44.72	45.75	4135	9217	1
2019.12.01	45.76	46.21	44.61	44.83	3350	8113	1
2019.12.08	45.09	45.70	44.24	45.07	3163	6681	1
2019.12.15	45.45	45.46	44.34	44.82	1950	3763	1
2019.12.22	44.82	45.58	44.79	45.40	775	1647	1
2019.12.29	45.40	45.88	45.24	45.39	1264	2514	1
2020.01.05	45.58	47.73	45.58	47.05	4132	11267	1
2020.01.12	46.92	47.81	46.34	47.05	4627	10040	1
2020.01.19	47.16	47.58	46.64	46.99	2903	6427	1
2020.01.26	46.83	47.10	43.83	44.25	4750	13529	1
2020.02.02	44.35	44.78	43.52	44.70	4349	10316	1
2020.02.09	44.79	46.87	44.34	46.83	6930	15387	1
2020.02.16	46.93	47.71	46.52	46.92	4620	11947	1
2020.02.23	46.73	48.54	46.63	48.40	1674	5497	1
2020.03.01	48.36	50.49	48.06	50.13	4148	12401	1
2020.03.08	49.59	53.03	49.35	52.62	8017	33083	1
2020.03.15	52.42	52.42	45.08	49.59	9169	32752	1
2020.03.22	49.34	49.84	47.91	47.99	4850	11617	1
2020.03.29	47.66	51.28	47.00	49.02	5632	17711	1
2020.04.05	49.33	49.79	46.35	46.68	4037	11750	1
2020.04.12	46.83	47.66	44.74	45.55	5891	15617	1
2020.04.19	45.32	47.35	44.47	47.35	4196	14112	1
2020.04.26	47.19	48.29	46.65	47.15	4437	10733	1
2020.05.03	47.55	50.31	47.30	49.79	5347	14602	1
2020.05.10	49.64	50.74	49.62	49.96	2615	8060	1
2020.05.17	49.80	50.57	48.64	49.58	4588	10365	1
2020.05.24	49.24	49.36	47.71	48.17	4415	10244	1
2020.05.31	48.20	48.37	46.78	47.21	4071	10296	1
2020.06.07	46.76	48.03	46.50	47.27	3023	5838	1
2020.06.14	47.65	49.64	47.50	49.39	5093	12480	1
2020.06.21	49.52	49.52	47.71	48.92	5888	12954	1
2020.06.28	49.05	51.89	48.97	51.47	5786	15753	1
2020.07.05	51.50	53.86	51.35	52.56	8243	20048	1
2020.07.12	52.22	52.86	51.01	52.59	8751	19070	1
2020.07.19	52.44	53.20	51.34	52.76	11000	19098	1
2020.07.26	52.98	56.43	52.93	56.06	9329	17828	1
2020.08.02	55.84	60.29	55.84	60.19	13949	25883	1
2020.08.09	60.21	64.54	59.14	64.20	13821	25583	1
2020.08.16	64.53	67.15	64.36	66.24	15466	27778	1
2020.08.23	66.73	67.99	64.86	65.37	11592	19718	1
2020.08.30	65.96	67.08	61.04	63.50	12680	23445	1
2020.09.06	63.74	66.88	63.74	66.84	11474	18472	1
2020.09.13	67.18	68.07	64.95	66.81	14170	23707	1
2020.09.20	66.97	70.99	66.81	70.98	15196	25214	1
2020.09.27	70.99	74.98	70.61	74.76	16991	27402	1
2020.10.04	74.75	80.87	74.75	79.21	19796	29635	1
2020.10.11	78.82	85.09	77.36	84.85	16436	24495	1
2020.10.18	84.57	98.48	84.57	89.55	31552	48010	1
2020.10.25	90.83	95.92	88.88	88.95	21609	29339	1
2020.11.01	88.48	94.02	86.98	89.27	11207	16260	1
2020.11.08	89.17	92.32	85.08	88.34	14736	20575	1
2020.11.15	88.53	89.90	86.02	86.99	12472	16944	1
2020.11.22	87.56	89.40	86.30	86.85	11531	15161	1
2020.11.29	86.86	87.95	76.79	77.01	22032	33294	1
2020.12.06	76.46	87.00	74.36	81.99	22425	30471	1
2020.12.13	82.65	85.63	81.36	85.48	13479	17895	1
2020.12.20	86.51	88.72	85.62	88.30	5633	6914	1
2020.12.27	87.77	92.46	87.68	91.38	6535	7907	1
2021.01.03	92.36	93.80	89.28	92.06	11039	14642	1
2021.01.10	91.38	95.97	90.78	93.58	19626	24870	1
2021.01.17	94.15	95.28	90.78	90.78	18267	25591	1
2021.01.24	91.63	92.32	88.45	92.15	17625	24781	1
2021.01.31	92.96	94.60	90.25	90.57	19105	25205	1
2021.02.07	90.18	93.35	89.41	91.06	17449	24095	1
2021.02.14	91.31	92.70	90.90	91.96	4971	6697	1
2021.02.21	92.37	94.44	91.84	93.59	9400	12086	1
2021.02.28	93.61	96.46	92.69	95.85	13239	19336	1
2021.03.07	95.87	96.21	92.36	93.00	18160	26431	1
2021.03.14	92.80	95.95	90.10	92.74	20267	29330	1
2021.03.21	93.21	94.79	91.52	94.67	11819	21308	0
2021.03.28	94.81	97.96	93.40	97.35	11039	20012	0
2021.04.04	97.41	101.40	97.41	100.70	12160	22050	0
2021.04.11	100.85	105.17	100.20	102.69	16974	33708	0
