<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.02.19	139.93	140.45	137.82	138.66	119	226	1
2020.02.20	137.93	137.93	133.72	133.88	203	355	1
2020.02.21	134.19	141.77	134.14	139.93	245	441	1
2020.02.26	139.93	141.77	139.14	141.19	72	153	1
2020.02.27	140.66	142.92	138.14	139.93	306	413	1
2020.02.28	138.87	142.19	138.87	142.03	303	433	1
2020.03.02	141.61	148.82	141.61	147.82	422	825	1
2020.03.03	150.97	154.65	149.97	152.18	459	832	1
2020.03.04	150.45	152.18	147.50	148.97	322	573	1
2020.03.05	147.29	147.29	140.14	140.71	325	415	1
2020.03.06	141.77	141.77	134.19	135.14	279	505	1
2020.03.09	132.35	139.82	129.56	137.93	325	534	1
2020.03.10	141.14	146.45	141.14	144.13	176	380	1
2020.03.11	145.03	145.19	139.93	139.93	117	230	1
2020.03.12	135.19	136.77	134.40	136.56	160	366	1
2020.03.13	138.87	139.40	132.56	133.72	221	458	1
2020.03.16	130.93	133.35	129.62	130.46	77	114	1
2020.03.17	129.88	129.88	125.41	128.35	101	139	1
2020.03.18	130.19	137.82	126.77	128.88	328	507	1
2020.03.19	131.09	136.77	131.09	133.61	182	337	1
2020.03.20	134.98	142.45	134.98	140.14	468	822	1
2020.03.23	144.13	146.50	137.98	143.61	266	452	1
2020.03.24	142.56	146.71	141.77	142.98	267	448	1
2020.03.25	142.71	146.40	140.98	144.19	172	267	1
2020.03.26	144.13	145.61	140.45	141.40	114	229	1
2020.03.27	138.87	139.14	136.51	137.51	135	193	1
2020.03.30	138.87	141.77	137.82	137.82	44	80	1
2020.03.31	137.82	139.35	136.77	138.35	42	71	1
2020.04.01	136.77	139.66	134.82	135.19	112	184	1
2020.04.02	136.77	140.77	136.77	137.30	95	161	1
2020.04.03	138.19	138.19	135.93	136.14	62	252	1
2020.04.06	135.98	139.35	135.66	139.08	78	94	1
2020.04.07	140.92	142.24	139.82	140.45	173	292	1
2020.04.08	140.14	142.56	139.40	140.08	65	96	1
2020.04.09	141.77	142.98	139.29	139.82	86	202	1
2020.04.13	139.71	141.66	138.40	141.66	65	157	1
2020.04.14	139.98	140.19	136.56	137.82	136	262	1
2020.04.15	135.19	142.24	134.88	140.45	191	269	1
2020.04.16	140.98	141.66	137.93	137.93	58	193	1
2020.04.17	138.19	139.93	137.08	137.40	82	250	1
2020.04.20	137.03	138.45	134.19	135.93	179	356	1
2020.04.22	134.14	134.14	129.67	129.93	242	402	1
2020.04.23	132.30	133.51	130.72	131.72	161	269	1
2020.04.24	129.40	129.77	124.67	125.72	339	496	1
2020.04.27	126.25	127.77	124.09	124.67	152	177	1
2020.04.28	125.46	126.88	124.93	126.25	49	79	1
