<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.03.03	166.57	167.60	166.29	166.80	267	799	1
2017.03.06	166.72	166.72	166.11	166.57	104	213	1
2017.03.07	166.14	166.72	166.02	166.72	168	728	1
2017.03.08	165.77	167.09	164.76	166.83	129	672	1
2017.03.09	166.97	167.53	166.90	167.19	156	755	1
2017.03.10	167.05	167.06	166.60	166.62	127	392	1
2017.03.13	166.53	166.68	166.26	166.42	152	635	1
2017.03.14	166.75	167.30	166.48	167.07	174	1155	1
2017.03.15	166.83	167.54	166.73	167.20	204	1044	1
2017.03.16	167.08	167.08	166.24	166.35	236	1240	1
2017.03.17	166.36	166.54	165.67	166.36	451	1568	1
2017.03.20	165.06	165.14	163.93	164.48	491	2672	1
2017.03.21	164.60	165.18	163.71	163.92	553	2435	1
2017.03.22	163.41	163.74	162.71	162.88	430	2703	1
2017.03.23	162.20	162.58	159.32	160.35	729	4095	1
2017.03.24	160.34	161.17	160.34	160.64	390	1924	1
2017.03.27	162.09	164.18	162.09	164.00	310	2570	1
2017.03.28	163.48	164.48	163.47	163.89	361	1740	1
2017.03.29	163.31	163.31	159.32	159.49	808	4500	1
2017.03.30	159.76	160.35	157.72	157.87	518	3137	1
2017.03.31	159.04	159.10	156.84	157.17	409	1875	1
2017.04.03	157.04	157.22	155.34	155.99	217	1068	1
2017.04.04	155.17	157.84	155.03	157.52	447	2071	1
2017.04.05	157.19	157.99	156.75	157.81	158	598	1
2017.04.06	157.98	159.17	157.75	158.72	476	1718	1
2017.04.07	158.20	159.76	158.11	159.70	183	619	1
2017.04.10	160.09	160.64	159.64	160.35	223	840	1
2017.04.11	160.35	160.87	159.76	160.35	323	1338	1
2017.04.12	160.76	161.11	160.49	160.94	165	577	1
2017.04.13	160.61	160.61	159.82	160.40	244	1227	1
2017.04.17	161.15	162.22	160.74	161.94	283	1155	1
2017.04.18	161.94	162.93	161.70	162.12	337	1615	1
2017.04.19	161.87	161.87	160.31	160.33	281	1781	1
2017.04.20	160.18	160.91	159.33	160.35	282	1606	1
2017.04.24	160.63	160.64	159.94	160.47	75	288	1
2017.04.25	159.58	159.88	159.41	159.76	93	313	1
2017.04.26	159.75	160.10	159.20	159.35	183	1099	1
2017.04.27	159.50	159.99	159.38	159.76	94	351	1
2017.04.28	159.88	160.34	159.64	160.03	76	222	1
2017.05.02	159.99	161.86	159.99	161.47	318	1352	1
2017.05.03	160.88	161.06	160.53	160.64	142	481	1
2017.05.04	160.68	160.88	159.89	160.35	325	1174	1
2017.05.05	160.05	160.54	159.42	159.79	134	451	1
2017.05.08	159.65	160.10	159.64	160.05	35	44	1
2017.05.09	159.92	160.11	159.41	159.82	115	440	1
2017.05.10	159.76	160.21	159.64	160.11	95	319	1
2017.05.11	163.72	164.25	163.71	163.95	47	151	1
2017.05.12	163.84	164.55	163.84	164.19	35	161	1
2017.05.15	163.72	163.72	163.21	163.72	75	270	1
2017.05.16	163.13	163.25	162.23	162.77	58	252	1
2017.05.17	163.04	163.69	162.77	163.13	79	324	1
2017.05.18	162.55	162.55	160.15	161.06	155	1068	1
2017.05.19	161.07	161.70	160.17	160.17	53	207	1
2017.05.22	160.76	161.46	155.56	155.56	245	1035	1
2017.05.23	155.60	157.10	154.39	156.48	226	824	1
2017.05.24	156.86	157.75	155.11	155.86	209	763	1
2017.05.25	155.68	156.86	155.09	156.63	210	959	1
2017.05.26	155.68	156.39	155.68	156.03	198	1002	1
2017.05.29	156.25	157.10	155.74	156.64	172	525	1
2017.05.30	157.20	157.22	155.92	156.15	296	1288	1
2017.05.31	156.15	157.22	156.15	156.85	260	1405	1
2017.06.01	157.10	157.29	155.43	155.85	246	1353	1
2017.06.02	155.98	157.22	155.66	156.50	131	574	1
2017.06.05	156.37	156.48	155.04	155.33	228	1204	1
2017.06.06	155.87	155.87	153.49	154.14	521	2370	1
2017.06.07	154.10	154.15	151.66	151.90	357	1715	1
2017.06.08	151.31	152.45	150.48	151.90	327	1830	1
2017.06.09	151.07	151.90	150.85	151.01	235	1510	1
2017.06.12	150.73	151.59	150.73	151.54	186	1110	1
2017.06.13	151.65	152.10	150.89	151.01	392	1890	1
2017.06.14	151.37	151.47	149.53	149.59	427	2038	1
2017.06.16	150.05	150.72	148.72	148.82	265	2064	1
2017.06.19	148.54	149.18	143.03	143.62	666	4381	1
2017.06.20	143.62	144.57	140.25	141.44	764	3600	1
2017.06.21	141.85	142.52	139.36	142.32	795	4609	1
2017.06.22	142.91	145.87	142.46	145.34	714	2819	1
2017.06.23	142.80	144.10	141.12	143.27	598	2579	1
2017.06.26	143.61	145.19	143.61	144.80	231	1059	1
2017.06.27	145.42	149.85	145.42	148.10	789	3075	1
2017.06.28	148.10	148.28	146.40	146.46	361	968	1
2017.06.29	147.51	147.64	146.81	147.11	272	967	1
2017.06.30	146.58	147.31	146.58	147.17	125	251	1
2017.07.03	146.87	149.53	146.87	148.94	258	1410	1
2017.07.04	148.72	150.48	148.46	150.01	366	1673	1
2017.07.05	150.04	151.03	149.89	150.21	302	1350	1
2017.07.06	150.12	150.12	148.48	149.25	339	1437	1
2017.07.07	149.39	149.89	148.71	148.94	234	1157	1
2017.07.10	149.18	150.64	149.18	149.89	241	865	1
2017.07.11	150.05	152.78	149.89	152.48	429	1902	1
